Registro_ANS	Razao_Social	Nome_Fantasia	Regiao_de_Atuacao
335690	UNIMED CAMPINAS - COOPERATIVA DE TRABALHO MÉDICO	UNIMED CAMPINAS	5
367613	UNIMED CAMPO BELO- COOPERATIVA DE TRABALHO MÉDICO	UNIMED CAMPO BELO- COOPERATIVA DE TRABALHO MÉDICO	5
312851	UNIMED CAMPO GRANDE MS COOPERATIVA DE TRABALHO MÉDICO	UNIMED CAMPO GRANDE	5
347736	UNIMED CARATINGA - COOPERATIVA DE TRABALHO MÉDICO LTDA	UNIMED CARATINGA - COOPERATIVA DE TRABALHO MÉDICO	5
340952	UNIMED CARUARU-COOPERATIVA DE TRABALHO MEDICO	UNIMED CARUARU	5
315648	UNIMED CATAGUASES COOPERATIVA DE TRABALHO MÉDICO LTDA	UNIMED CATAGUASES COOPERATIVA DE TRABALHO MÉDICO LTDA	5
346951	UNIMED CAÇADOR COOPERATIVA DE TRABALHO MÉDICO DA REGIÃO DO CONTESTADO	UNIMED CAÇADOR	5
357138	UNIMED CENTRO OESTE PAULISTA - FEDERAÇÃO INTRAFEDERATIVA DAS COOPERATIVAS MÉDICAS	UNIMED CENTRO OESTE PAULISTA - FEDERACAO INTRAFEDERATIVA DAS COO	5
414573	UNIMED CENTRO PAULISTA - FEDERAÇÃO INTRAFEDERATIVA DAS COOPERATIVAS MÉDICAS	UNIMED CENTRO PAULISTA	5
320897	UNIMED CENTRO SUL FLUMINENSE COOPERATIVA DE TRABALHO MÉDICO	UNIMED BARRA DO PIRAÍ	5
354295	UNIMED CHAPECÓ - COOPERATIVA DE TRABALHO MÉDICO DA REGIÃO OESTE CATARINENSE	UNIMED CHAPECÓ	5
345709	UNIMED CONSELHEIRO LAFAIETE COOPERATIVA DE TRABALHO MÉDICO LTDA	UNIMED CONSELHEIRO LAFAIETE	5
324345	UNIMED COSTA DO DESCOBRIMENTO COOPERATIVA DE TRABALHO MÉDICO	UNIMED COSTA DO DESCOBRIMENTO	5
371106	UNIMED COSTA OESTE - COOPERATIVA DE TRABALHO MÉDICO	UNIMED COSTA OESTE	5
311146	UNIMED COSTA VERDE RJ	UNIMED COSTA VERDE	5
342084	UNIMED CUIABA COOPERATIVA DE TRABALHO MÉDICO	UNIMED CUIABÁ	5
304701	UNIMED CURITIBA - SOCIEDADE COOPERATIVA DE MÉDICOS	UNIMED CURITIBA - SOCIEDADE COOPERATIVA DE MÉDICOS	4
330108	UNIMED CURVELO COOPERATIVA DE TRABALHO MÉDICO LTDA.	UNIMED GERAIS DE MINAS	5
311944	UNIMED DE ADAMANTINA-COOPERATIVA DE TRABALHO MÉDICO	UNIMED DE ADAMANTINA	5
303844	UNIMED DE ANDRADINA - COOPERATIVA DE TRABALHO MÉDICO	UNIMED DE ANDRADINA COOPERATIVA DE TRABALHO MEDICO	5
369411	UNIMED DE ARACATUBA - COOPERATIVA DE TRABALHO MÉDICO	UNIMED DE ARACATUBA	5
364312	UNIMED DE ARARAQUARA - COOP. DE TRAB. MÉDICO	UNIMED DE ARARAQUARA	5
358169	UNIMED DE ARIQUEMES COOPERATIVA DE TRABALHO MÉDICO	UNIMED ARIQUEMES	5
300713	UNIMED DE ASSIS COOPERATIVA DE TRABALHO MÉDICO	UNIMED DE ASSIS	5
304123	UNIMED DE AVARÉ COOPERATIVA DE TRABALHO MÉDICO	UNIMED DE AVARÉ	5
330264	UNIMED DE BARRA MANSA SOC. COOP. SERV.MED.E HOSPIT.	UNIMED DE BARRA MANSA	5
347108	UNIMED DE BARRETOS COOPERATIVA DE TRABALHO MÉDICO	UNIMED DE BARRETOS	6
313149	UNIMED DE BATATAIS - COOPERATIVA DE TRABALHO MÉDICO	UNIMED DE BATATAIS	5
369659	UNIMED DE BAURU COOPERATIVA DE TRABALHO MÉDICO	UNIMED BAURU	5
331341	UNIMED DE BEBEDOURO COOPERATIVA DE TRABALHO MÉDICO	UNIMED DE BEBEDOURO	5
345776	UNIMED DE BIRIGUI - COOPERATIVA DE TRABALHO MÉDICO	UNIMED DE BIRIGUI	5
304883	UNIMED DE BOTUCATU COOPERATIVA DE TRABALHO MÉDICO	UNIMED BOTUCATU	5
348244	UNIMED DE BRUSQUE COOPERATIVA DE TRABALHO MÉDICO	UNIMED DE BRUSQUE COOPERATIVA DE TRABALHO MÉDICO	5
352683	UNIMED DE CAMPOS COOPERATIVA DE TRABALHO MÉDICO	UNIMED DE CAMPOS	5
366340	UNIMED DE CAPIVARI -COOPERATIVA DE TRABALHO MÉDICO	UNIMED DE CAPIVARI	5
370070	UNIMED DE CASCAVEL COOPERATIVA DE TRABALHO MÉDICO	UNIMED DE CASCAVEL	5
324566	UNIMED DE CATALÃO COOPERATIVA DE TRABALHO MÉDICO	UNIMED DE CATALÃO	5
351407	UNIMED DE CATANDUVA - COOPERATIVA DE TRABALHO MÉDICO	UNIMED CATANDUVA	5
334154	UNIMED DE CAÇAPAVA - COOPERATIVA DE TRABALHO MEDICO		5
354627	UNIMED DE CIANORTE - COOPERATIVA DE TRABALHO MEDICO	UNIMED DE CIANORTE COOPERATIVA DE TRABALHO MEDICO LTDA	5
344788	UNIMED DE CORUMBA COOPERATIVA DE TRABALHO MÉDICO	UNIMED DE CORUMBÁ	6
329339	UNIMED DE CRICIÚMA COOPERATIVA DE TRABALHO MÉDICO DA REGIÃO CARBONÍFERA	UNIMED CRICIÚMA	5
333662	UNIMED DE DOURADOS COOPERATIVA DE TRABALHO MÉDICO LTDA	UNIMED DE DOURADOS	5
314781	UNIMED DE DRACENA - COOPERATIVA DE TRABALHO MÉDICO	UNIMED DE DRACENA	5
322261	UNIMED DE FEIRA DE SANTANA COOPERATIVA DE TRABALHO MÉDICO	UNIMED DE FEIRA DE SANTANA	6
326089	UNIMED DE FERNANDOPOLIS - COOPERATIVA DE TRABALHO MÉDICO	UNIMED DE FERNANDOPOLIS	5
317144	UNIMED DE FORTALEZA SOCIEDADE COOPERATIVA MÉDICA LTDA.	UNIMED DE FORTALEZA	5
355577	UNIMED DE GUARATINGUETA-COOPERATIVA DE TRABALHO MÉDICO	UNIMED DE GUARATINGUETÁ - COOPERATIVA DE TRABALHO MÉDICO	5
333051	UNIMED DE GUARULHOS COOPERATIVA DE TRABALHO MÉDICO	UNIMED DE GUARULHOS	5
365238	UNIMED DE IBITINGA COOPERATIVA DE TRABALHO MÉDICO	UNIMED DE IBITINGA	5
353027	UNIMED DE ITAPETININGA - COOPERATIVA DE TRABALHO MÉDICO	UNIMED DE ITAPETININGA	5
327468	UNIMED DE ITAPEVA - COOPERATIVA DE TRABALHO MÉDICO	UNIMED DE ITAPEVA	5
415014	UNIMED DE ITATIBA COOPERATIVA DE TRABALHO MÉDICO	UNIMED ITATIBA	5
329886	UNIMED DE JABOTICABAL COOP. DE TRABALHO MÉDICO	UNIMED DE JABOTICABAL	5
334847	UNIMED DE JATAÍ COOPERATIVA DE TRABALHO MÉDICO LTDA.	UNIMED DE JATAÍ	5
321273	UNIMED DE JOINVILLE COOPERATIVA DE TRABALHO MÉDICO	UNIMED DE JOINVILLE	5
325031	UNIMED DE LENÇOIS PAULISTA - COOPERATIVA DE TRABALHO MÉDICO	UNIMED DE LENÇOIS PAULISTA	5
301574	UNIMED DE LIMEIRA COOPERATIVA DE TRABALHO MÉDICO	UNIMED LIMEIRA	5
354279	UNIMED DE LINS - COOPERATIVA DE TRABALHOS MÉDICOS	UNIMED DE LINS	5
343269	UNIMED DE LONDRINA COOPERATIVA DE TRABALHO MÉDICO	UNIMED DE LONDRINA	5
385620	UNIMED DE LORENA COOPERATIVA DE TRABALHO MÉDICO		5
302953	UNIMED DE MACAÉ COOPERATIVA DE ASSISTÊNCIA À SAÚDE	UNIMED COSTA DO SOL	5
311961	UNIMED DE MANAUS COOP. DO TRABALHO MÉDICO LTDA	UNIMED DE MANAUS	6
336106	UNIMED DE MARILIA COOPERATIVA DE TRABALHO MÉDICO	UNIMED DE MARÍLIA	5
357715	UNIMED DE MINEIROS COOPERATIVA DE TRABALHO MÉDICO	UNIMED DE MINEIROS	5
328308	UNIMED DE MOCOCA COOPERATIVA DE TRAB. MÉDICO	UNIMED DE MOCOCA	6
309524	UNIMED DE MONTE ALTO - COOPERATIVA DE TRABALHO MÉDICO	UNIMED DE MONTE ALTO	5
311294	UNIMED DE OURINHOS - COOPERATIVA DE TRABALHO MÉDICO	UNIMED DE OURINHOS	5
361615	UNIMED DE PARANAGUÁ COOPERATIVA DE TRABALHO MÉDICO	UNIMED DE PARANAGUÁ	5
320862	UNIMED DE PARANAVAÍ COOPERATIVA DE TRABALHO MÉDICO	UNIMED DE PARANAVAÍ	5
323004	UNIMED DE PENAPOLIS - COOPERATIVA DE TRABALHO MEDICO	UNIMED DE PENAPOLIS COOP TRAB MEDICO	5
342343	UNIMED DE PINDAMONHANGABA - COOPERATIVA TRABALHO MEDICO	UNIMED PINDAMONHANGABA	5
315729	UNIMED DE PIRACICABA SOCIEDADE COOPERATIVA DE SERVIÇOS MÉDICOS	UNIMED DE PIRACICABA	5
314242	UNIMED DE PIRASSUNUNGA COOPERATIVA DE TRABALHO MÉDICO	UNIMED DE PIRASSUNUNGA COOPERATIVA DE TRABALHO MÉDICO	5
315796	UNIMED DE PRESIDENTE PRUDENTE COOPERATIVA DE TRAB. MÉDICO	UNIMED DE PRESIDENTE PRUDENTE	5
351776	UNIMED DE REGISTRO COOPERATIVA DE TRABALHO MÉDICO	UNIMED DE REGISTRO	6
351202	UNIMED DE RIBEIRAO PRETO - COOPERATIVA DE TRABALHO MÉDICO	UNIMED DE RIBEIRAO PRETO	5
306126	UNIMED DE RIO CLARO SP COOPERATIVA DE TRABALHO MEDICO	UNIMED DE RIO CLARO SP	5
369292	UNIMED DE SANTA BÁRBARA D'OESTE E AMERICANA - COOP DE TRABALHO MÉDICO	UNIMED DE SANTA BÁRBARA D'OESTE E AMERICANA - COOP DE TRABALHO M	5
355721	UNIMED DE SANTOS COOP DE TRAB MEDICO		5
354619	UNIMED DE SAO JOSÉ DO RIO PARDO-COOP. DE TRAB. MÉDICO	UNIMED DE SAO JOSÉ DO RIO PARDO	5
303178	UNIMED DE SOBRAL SOCIEDADE COOPERATIVA MÉDICA LTDA	UNIMED DE SOBRAL	5
318388	UNIMED DE SÃO ROQUE - COOPERATIVA DE TRABALHO MÉDICO	UNIMED SAO ROQUE	5
361941	UNIMED DE TATUI - COOPERATIVA DE TRABALHO MÉDICO	UNIMED TATUÍ	5
363286	UNIMED DE TAUBATÉ COOPERATIVA DE TRABALHO MÉDICO	UNIMED DE TAUBATÉ	5
342386	UNIMED DE TRES LAGOAS COOPERATIVA DE TRABALHO MÉDICO	UNIMED DE TRÊS LAGOAS	5
364860	UNIMED DE TUBARAO - COOPERATIVA DE TRABALHO MEDICO DA REGIAO DA AMUREL	UNIMED DE TUBARAO	5
365530	UNIMED DE TUPA COOPERATIVA DE TRABALHO MÉDICO	UNIMED DE TUPA	5
362573	UNIMED DE UBA COOPERATIVA DE TRABALHO MEDICO	UNIMED UBA	5
364584	UNIMED DE VOLTA REDONDA COOPERATIVA DE TRABALHO MÉDICO	UNIMED DE VOLTA REDONDA COOPERATIVA DE TRABALHO MEDICO	5
328073	UNIMED DE VOTUPORANGA - COOPERATIVA DE TRABALHO MÉDICO	UNIMED DE VOTUPORANGA	5
319121	UNIMED DIVINOPOLIS - COOPERATIVA DE TRABALHO MEDICO LTDA	UNIMED DIVINOPOLIS	5
300870	UNIMED DO BRASIL - CONF. NACIONAL DAS COOPERATIVAS MÉDICAS	UNIMED DO BRASIL	1
356123	UNIMED DO CARIRI - SOCIEDADE COOPERATIVA MÉDICA LTDA	UNIMED DO CARIRI	6
321958	UNIMED DO CEARÁ - FEDERAÇÃO DAS SOCIEDADES COOPERATIVAS MÉDICAS DO ESTADO DO CEARÁ LTDA.	UNIMED DO CEARA	3
312363	UNIMED DO EST. DO RJ FEDERAÇÃO EST. DAS COOPERATIVAS MÉDICAS	UNIMED FEDERAÇÃO RIO	4
316741	UNIMED DO ESTADO DE MATO GROSSO DO SUL - FEDERAÇÃO ESTADUAL DAS COOPERATIVAS MÉDICAS	FEDERAÇAO DAS UNIMED'S DE MATO GROSSO DO SUL	6
355691	UNIMED DO ESTADO DE SANTA CATARINA FED. EST. DAS COOP. MÉD.	UNIMED SANTA CATARINA	3
319996	UNIMED DO ESTADO DE SÃO PAULO - FEDERAÇÃO ESTADUAL DAS COOP. MÉDICAS	FEDERAÇÃO DAS UNIMEDS DO ESTADO DE SÃO PAULO	2
312720	UNIMED DO ESTADO DO PARANÁ FEDERAÇÃO ESTADUAL DAS COOPERATIVAS MÉDICAS	UNIMED PARANÁ	3
325082	UNIMED DO OESTE DA BAHIA COOPERATIVA DE TRABALHO MÉDICO	UNIMED DO OESTE DA BAHIA	5
305227	UNIMED DO OESTE DO PARANÁ - COOP. DE TRABALHO MEDICO		5
348406	UNIMED DO RIO GRANDE DO NORTE - FEDERAÇÃO DAS SOCIEDADES COOPERATIVAS DE TRABALHO MÉDICO	FURN	3
350371	UNIMED DO SUDOESTE COOPERATIVA DE TRABALHO MEDICO LTDA	UNIMED DO SUDOESTE	5
311715	UNIMED ENCOSTA DA SERRA/RS SOCIEDADE COOPERATIVA DE SERVIÇOS DE SAÚDE LTDA.	UNIMED ENCOSTA DA SERRA	5
357022	UNIMED ERECHIM - COOPERATIVA DE SERVIÇOS DE SAÚDE LTDA.	UNIMED (RS)  ERECHIM	5
340251	UNIMED EXTREMO OESTE CATARINENSE COOPERATIVA DE TRABALHO MÉDICO	UNIMED EXTREMO OESTE CATARINENSE	5
346209	UNIMED EXTREMO SUL COOPERATIVA DE TRABALHO MÉDICO	UNIMED EXTREMO SUL COOPERATIVA DE TRABALHO MÉDICO	5
328031	UNIMED FEDERAÇAO DO ESTADO DO MATO GROSSO		3
347361	UNIMED FEDERAÇÃO INTERFEDERATIVA DAS COOPERATIVAS MÉDICAS DO CENTRO-OESTE E TOCANTINS	UNIMED CENTRO-OESTE E TOCANTINS	4
351792	UNIMED FOZ DO IGUACU COOPERATIVA TRABALHO MEDICO	UNIMEDFOZ	6
354783	UNIMED FRANCA - SOCIEDADE COOPERATIVA DE SERVIÇOS MÉDICOS E HOSPITALARES	UNIMED DE FRANCA	5
336858	UNIMED FRANCISCO BELTRAO COOPERATIVA DE TRABALHO MEDICO	UNIMED FRANCISCO BELTRAO	5
352179	UNIMED FRONTEIRA NOROESTE/RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA.	UNIMED FRONTEIRA NOROESTE/RS	5
371564	UNIMED FRUTAL COOPERATIVA DE TRABALHO MEDICO LTDA	UNIMED FRUTAL COOPERATIVA DE TRABALHO MÉDICO	5
382876	UNIMED GOIANIA COOPERATIVA DE TRABALHO MÉDICO	UNIMED GOIANIA	5
386588	UNIMED GOVERNADOR VALADARES COOP. DE TRABALHO MÉDICO LTDA.	UNIMED GV COOP TRABALHO MEDICO LTDA	5
360449	UNIMED GRANDE FLORIANÓPOLIS-COOPERATIVA DE TRABALHO MEDICO	UNIMED GRANDE FLORIANÓPOLIS	5
322571	UNIMED GUARAPUAVA COOPERATIVA DE TRABALHO MÉDICO	UNIMED GUARAPUAVA	5
318035	UNIMED GUAXUPÉ COOPERATIVA DE TRABALHO MEDICO	UNIMED GUAXUPÉ	5
301124	UNIMED GURUPI COOPERATIVA DE TRABALHO MÉDICO	UNIMED GURUPI	5
347230	UNIMED ILHEUS COOPERATIVA DE TRABALHO MEDICO		5
352543	UNIMED IMPERATRIZ COOPERATIVA DE TRABALHO MÉDICO	UNIMED IMPERATRIZ	5
304395	UNIMED INCONFIDENTES COOPERATIVA DE TRABALHO MÉDICO LTDA.	UNIMED INCONFIDENTES	5
320838	UNIMED INTRAFEDERATIVA FEDERAÇÃO REGIONAL SUL DE MINAS	INTRA SUL DE MINAS	5
335517	UNIMED ITABIRA COOPERATIVA DE TRABALHO MÉDICO	UNIMED ITABIRA COOPERATIVA DE TRABALHO MEDICO	5
357065	UNIMED ITABUNA COOPERATIVA DE TRABALHO MEDICO	UNIMED ITABUNA	5
322831	UNIMED ITAJUBA COOPERATIVA DE TRABALHO MEDICO	UNIMED ITAJUBA COOPERATIVA DE TRABALHO MEDICO	6
356581	UNIMED ITAÚNA COOPERATIVA DE TRABALHO MÉDICO LTDA.	UNIMED ITAÚNA	5
301060	UNIMED ITUIUTABA COOPERATIVA TRABALHO MÉDICO LTDA.	UNIMED ITUIUTABA	5
347507	UNIMED JI PARANÁ COOPERATIVA DE TRABALHO MÉDICO	UNIMED JI PARANÁ	5
321044	UNIMED JOAO PESSOA - COOPERATIVA DE TRABALHO MÉDICO	UNIMED JOAO PESSOA	5
301744	UNIMED JOAÇABA COOPERATIVA DE TRABALHO MÉDICO	UNIMED JOAÇABA	5
352314	UNIMED JOÃO MONLEVADE COOPERATIVA DE TRABALHO MÉDICO LTDA.	UNIMED JOÃO MONLEVADE	5
306886	UNIMED JUIZ DE FORA COOPERATIVA DE TRABALHO MÉDICO LTDA	UNIMED JUIZ DE FORA COOPERATIVA DE TRABALHO MEDICO LTDA	5
303267	UNIMED JUNDIAI - COOPERATIVA DE TRABALHO MÉDICO	UNIMED JUNDIAÍ	5
345458	UNIMED LAVRAS COOPERATIVA DE TRABALHO MÉDICO	UNIMED LAVRAS	5
386901	UNIMED LEOPOLDINA COOPERATIVA DE TRABALHO MÉDICO LTDA	UNIMED LEOPLDINA	5
358088	UNIMED LESTE PAULISTA COOPERATIVA DE TRABALHO MÉDICO	UNIMED LESTE PAULISTA COOPERATIVA DE TRABALHO MÉDICO	5
303356	UNIMED LITORAL COOPERATIVA DE TRABALHO MÉDICO LTDA	UNIMED LITORAL	5
300136	UNIMED LITORAL SUL/RS - COOPERATIVA MÉDICA LTDA.	UNIMED LITORAL SUL/RS	5
327689	UNIMED MACEIO COOPERATIVA DE TRABALHO MÉDICO	UNIMED MACEIÓ COOPERATIVA DE TRABALHO MEDICO	5
354678	UNIMED MACHADO COOPERATIVA DE TRABALHO MEDICO	UNIMED MACHADO	5
321087	UNIMED MARQUES DE VALENÇA COOPERATIVA DE TRABALHO MÉDICO LTDA.	UNIMED MARQUÊS DE VALENÇA	6
318566	UNIMED METROPOLITANA DO AGRESTE - COOPERATIVA DE TRABALHO MÉDICO	UNIMED METROPOLITANA DO AGRESTE	5
311618	UNIMED MISSÕES/RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA.	UNIMED MISSÕES/RS	5
304051	UNIMED MONTES CLAROS COOPERATIVA DE  TRABALHO MÉDICO LTDA.	UNIMED NORTE DE MINAS	5
342157	UNIMED MORRINHOS COOPERATIVA DE TRABALHO MEDICO	UNIMED MORRINHOS	5
368148	UNIMED MURIAÉ COOPERATIVA DE TRABALHO MEDICO LTDA	UNIMED MURIAÉ COOPERATIVA DE TRABALHO MEDICO LTDA	6
335592	UNIMED NATAL SOC. COOP. DE TRAB. MÉDICO	UNIMED NATAL SOCIEDADE COOPERATIVA DE TRABALHO MÉDICO	5
328294	UNIMED NORDESTE PAULISTA - FED. INTRAFEDERATIVA DAS COOP. MÉDICAS	UNIMED NORDESTE PAULISTA FEDERAÇÃO INTRAFED.COOP.MEDICAS	5
325571	UNIMED NORDESTE RS SOCIEDADE COOPERATIVA DE SERVIÇOS MÉDICOS LTDA.	UNIMED NORDESTE RS SOCIEDADE COOPERATIVA DE SERVIÇOS MÉDICOS LTD	5
371629	UNIMED NOROESTE CAPIXABA COOPERATIVA DE TRABALHO MÉDICO.		5
315494	UNIMED NOROESTE DE MINAS COOPERATIVA DE TRABALHO MEDICO LTDA	UNIMED NOROESTE DE MINAS	5
365777	UNIMED NOROESTE DO PARANÁ COOP DE TRABALHO MÉDICO .	UNIMED DE UMUARAMA	5
360414	UNIMED NOROESTE FLUMINENSE - COOPERATIVA DE TRABALHO MÉDICO LTDA	UNIMED NOROESTE FLUMINENSE	5
357260	UNIMED NOROESTE/RS - SOCIEDADE COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA.	UNIMED NOROESTE/RS	5
371777	UNIMED NORTE CAPIXABA- COOPERATIVA DE TRABALHO MÉDICO	UNIMED NORTE CAPIXABA	5
353663	UNIMED NORTE DO MATO GROSSO COOPERATIVA DE TRABALHO MÉDICO	UNIMED NORTE DO MATO GROSSO	5
358282	UNIMED NORTE DO PARANÁ COOPERATIVA REGIONAL DE TRABALHO MÉDICO	UNIMED NORTE DO PARANÁ	5
312592	UNIMED NORTE FLUMINENSE COOPERATIVA DE TRABALHO MEDICO	UNIMED NORTE FLUMINENSE	5
323055	UNIMED NORTE PAULISTA - COOPERATIVA DE TRABALHO MÉDICO	UNIMED DE ITUVERAVA	5
366064	UNIMED NORTE PIONEIRO - COOPERATIVA DE TRABALHO MÉDICO	UNIMED NORTE PIONEIRO - COOPERATIVA DE TRABALHO MÉDICO	5
324213	UNIMED NORTE/NORDESTE-FEDERAÇÃO INTERFEDERATIVA DAS SOCIEDADES COOPERATIVAS DE TRABALHO MÉDICO	UNIMED NORTE/NORDESTE	5
335479	UNIMED NOVA FRIBURGO-SOC.COOP.SERV.MED.HOSP.LTDA.	UNIMED NOVA FRIBURGO LTDA	5
344397	UNIMED NOVA IGUACU COOPERATIVA DE TRABALHO MEDICO	UNIMED NOVA IGUAÇU	5
362140	UNIMED OESTE DO PARÁ - COOPERATIVA DE TRABALHO MÉDICO	UNIMED OESTE DO PARA COOP TRABALHO MEDICO	5
309907	UNIMED PALMAS COOPERATIVA DE TRABALHO MÉDICO	UNIMED PALMAS	5
369233	UNIMED PALMEIRA DOS ÍNDIOS COOPERATIVA DE TRABALHO MÉDICO	UNIMED PALMEIRA DOS ÍNDIOS	5
324523	UNIMED PARAIBA - FEDERAÇAO DAS SOCIEDADES COOPERATIVAS DE TRABALHO MEDICO	UNIMED PARAIBA	5
304344	UNIMED PARÁ DE MINAS COOPERATIVA DE TRABALHO MÉDICO LTDA.	UNIMED CENTRO-OESTE	5
370681	UNIMED PATO BRANCO COOPERATIVA DE TRABALHO MEDICO	UNIMED PATO BRANCO	5
336467	UNIMED PATOS - COOPERATIVA DE TRABALHO MÉDICO	UNIMED PATOS	5
353060	UNIMED PATOS DE MINAS COOPERATIVA TRABALHO MÉDICO LTDA.	UNIMED PATOS DE MINAS COOPERATIVA TRABALHO MÉDICO	5
355593	UNIMED PATROCÍNIO COOPERATIVA DE TRABALHO MÉDICO LTDA.	UNIMED PATROCÍNIO	5
