REG_ANS,PERIODO,ANO,TRIMESTRE,porte,MLL,ROE,ROA,DM,DA,DC,DOP,IRF,LC,CT/CP,PMRC,PMPE,Lastro P T
304701,201504,2015,4,Grande Porte,        -0.01,        -0.02,        -0.00,         1.10,         0.08,         0.04,         1.20,         0.04,         1.86,         4.39,        48.27,       119.90,         0.59
304883,201501,2015,1,Médio Porte,         0.05,         0.05,         0.02,         1.27,         0.17,         0.00,         1.35,         0.01,         1.41,         1.98,        48.88,        82.85,         0.55
304883,201502,2015,2,Médio Porte,        -0.01,        -0.02,        -0.00,         1.30,         0.20,         0.00,         1.39,         0.01,         1.45,         2.12,        17.47,        98.75,         0.52
304883,201503,2015,3,Médio Porte,        -0.02,        -0.02,        -0.00,         1.45,         0.21,         0.00,         1.50,         0.03,         1.44,         2.38,        18.92,        84.77,         0.46
304883,201504,2015,4,Médio Porte,         0.09,         0.08,         0.03,         1.40,         0.20,         0.00,         1.43,         0.02,         1.19,         2.05,        26.78,        84.75,         0.51
305227,201501,2015,1,Médio Porte,         0.10,         0.14,         0.05,         1.00,         0.13,         0.00,         1.11,         0.02,         1.80,         1.66,        27.88,        59.45,         0.73
305227,201502,2015,2,Médio Porte,        -0.06,        -0.09,        -0.03,         1.14,         0.14,         0.00,         1.25,         0.02,         1.61,         1.94,        35.86,        49.70,         0.73
305227,201503,2015,3,Médio Porte,        -0.00,        -0.01,        -0.00,         1.08,         0.14,         0.00,         1.20,         0.03,         1.63,         2.17,        34.14,        50.28,         0.76
305227,201504,2015,4,Médio Porte,        -0.01,        -0.02,        -0.01,         1.09,         0.14,         0.00,         1.20,         0.03,         1.44,         2.37,        27.04,        50.45,         0.74
305472,201501,2015,1,Médio Porte,         0.04,         0.03,         0.01,         1.36,         0.16,         0.01,         1.40,        -0.00,         1.39,         1.23,        92.06,        49.88,         0.68
305472,201502,2015,2,Médio Porte,         0.02,         0.01,         0.01,         1.41,         0.15,         0.01,         1.41,         0.00,         1.38,         1.29,        93.92,        49.99,         0.63
305472,201503,2015,3,Médio Porte,        -0.19,        -0.18,        -0.07,         1.66,         0.16,         0.00,         1.56,         0.00,         1.15,         1.60,        97.22,        54.37,         0.59
305472,201504,2015,4,Médio Porte,        -0.01,        -0.01,        -0.00,         1.49,         0.19,         0.00,         1.48,         0.00,         1.17,         1.55,        46.46,        47.49,         0.70
306100,201501,2015,1,Médio Porte,         0.26,         0.19,         0.10,         0.85,         0.08,         0.01,         0.94,         0.05,         2.01,         0.85,       197.26,        60.23,         0.73
306100,201502,2015,2,Médio Porte,         0.06,         0.04,         0.02,         1.00,         0.10,         0.01,         1.10,         0.04,         2.10,         0.79,       178.42,        47.36,         0.71
306100,201503,2015,3,Médio Porte,         0.02,         0.01,         0.01,         1.05,         0.10,         0.01,         1.16,         0.06,         2.02,         0.84,       175.84,        49.74,         0.70
306100,201504,2015,4,Médio Porte,        -0.19,        -0.16,        -0.08,         1.26,         0.12,         0.01,         1.34,         0.03,         1.81,         1.04,       165.15,        37.56,         0.75
306126,201501,2015,1,Médio Porte,         0.03,         0.04,         0.02,         1.15,         0.12,         0.00,         1.23,        -0.02,         1.08,         1.43,        33.11,        67.28,         0.62
306126,201502,2015,2,Médio Porte,         0.04,         0.04,         0.02,         1.16,         0.12,         0.00,         1.23,         0.01,         1.10,         1.43,        42.37,        62.77,         0.62
306126,201503,2015,3,Médio Porte,        -0.04,        -0.05,        -0.02,         1.21,         0.12,         0.00,         1.28,         0.01,         1.05,         1.55,        38.84,        60.09,         0.61
306126,201504,2015,4,Médio Porte,         0.02,         0.03,         0.01,         1.14,         0.12,         0.00,         1.22,         0.01,         1.02,         1.38,        42.96,        53.05,         0.69
306398,201501,2015,1,Grande Porte,         0.05,         0.05,         0.02,         1.16,         0.17,         0.01,         1.27,         0.02,         1.75,         1.21,        48.43,        53.55,         0.60
306398,201502,2015,2,Grande Porte,         0.03,         0.03,         0.01,         1.21,         0.16,         0.01,         1.30,         0.02,         1.63,         1.16,        51.19,        49.79,         0.60
306398,201503,2015,3,Grande Porte,        -0.00,        -0.00,        -0.00,         1.24,         0.16,         0.01,         1.33,         0.02,         1.46,         1.19,        50.27,        50.73,         0.58
306398,201504,2015,4,Grande Porte,        -0.05,        -0.05,        -0.02,         1.23,         0.17,         0.01,         1.35,        -0.05,         1.37,         1.23,        48.25,        55.66,         0.58
306762,201501,2015,1,Médio Porte,         0.12,         0.16,         0.03,         1.20,         0.17,         0.00,         1.30,         0.03,         1.86,         4.01,        28.14,       155.24,         0.47
306762,201502,2015,2,Médio Porte,         0.07,         0.09,         0.02,         1.28,         0.18,         0.00,         1.36,         0.03,         1.88,         3.80,        28.54,       140.31,         0.47
306762,201503,2015,3,Médio Porte,         0.06,         0.08,         0.02,         1.27,         0.17,         0.00,         1.35,         0.03,         1.87,         3.60,        28.09,       144.61,         0.47
306762,201504,2015,4,Médio Porte,        -0.04,        -0.05,        -0.01,         1.37,         0.17,         0.00,         1.41,         0.01,         1.89,         3.76,        40.81,       128.02,         0.49
306886,201501,2015,1,Grande Porte,         0.03,         0.05,         0.02,         1.21,         0.16,         0.01,         1.31,         0.02,         1.41,         2.44,        52.18,       114.83,         0.56
306886,201502,2015,2,Grande Porte,         0.02,         0.04,         0.01,         1.24,         0.16,         0.01,         1.33,         0.03,         1.89,         3.43,        59.58,       112.24,         0.56
306886,201503,2015,3,Grande Porte,         0.02,         0.04,         0.01,         1.21,         0.17,         0.01,         1.33,         0.03,         1.81,         3.28,        53.97,       108.65,         0.58
306886,201504,2015,4,Grande Porte,         0.06,         0.09,         0.02,         1.25,         0.16,         0.00,         1.34,         0.05,         1.65,         3.57,       120.39,        98.51,         0.60
306959,201501,2015,1,Pequeno Porte,         0.13,         0.16,         0.04,         1.40,         0.22,         0.00,         1.43,         0.03,         1.53,         2.85,        30.23,        41.25,         0.73
306959,201502,2015,2,Pequeno Porte,         0.51,         0.66,         0.16,         1.62,         0.31,         0.00,         1.59,         0.03,         1.92,         2.27,        32.67,        46.18,         0.65
306959,201503,2015,3,Pequeno Porte,        -0.02,        -0.02,        -0.01,         1.60,         0.25,         0.00,         1.56,         0.03,         1.82,         2.38,        27.00,        51.22,         0.62
306959,201504,2015,4,Pequeno Porte,        -0.33,        -0.32,        -0.11,         1.94,         0.28,         0.00,         1.80,         0.00,         1.56,         1.76,        24.77,        47.16,         0.59
308811,201501,2015,1,Pequeno Porte,         0.21,         0.14,         0.08,         0.83,         0.08,         0.00,         0.92,         0.01,         1.92,         0.78,        60.57,        38.24,         1.08
308811,201502,2015,2,Pequeno Porte,         0.03,         0.02,         0.01,         1.02,         0.09,         0.00,         1.11,         0.01,         1.89,         0.75,        51.73,        30.77,         0.81
308811,201503,2015,3,Pequeno Porte,         0.07,         0.04,         0.02,         0.98,         0.09,         0.00,         1.07,         0.01,         1.96,         0.70,        68.84,        27.55,         0.84
308811,201504,2015,4,Pequeno Porte,         0.16,         0.09,         0.05,         0.88,         0.11,         0.00,         0.99,         0.02,         1.99,         0.65,        64.76,        25.60,         0.88
309087,201501,2015,1,Médio Porte,         0.17,         0.18,         0.06,         0.99,         0.13,         0.00,         1.11,         0.03,         1.65,         1.73,        83.16,       115.49,         0.70
309087,201502,2015,2,Médio Porte,        -0.01,        -0.01,        -0.00,         1.23,         0.15,         0.00,         1.32,         0.04,         1.64,         1.74,        77.16,       113.51,         0.65
309087,201503,2015,3,Médio Porte,        -0.11,        -0.12,        -0.04,         1.23,         0.16,         0.00,         1.33,         0.05,         1.54,         1.71,        69.15,        87.71,         0.62
309087,201504,2015,4,Médio Porte,         0.07,         0.06,         0.02,         1.19,         0.17,         0.00,         1.31,         0.04,         1.56,         1.59,        86.67,        91.69,         0.63
309524,201501,2015,1,Pequeno Porte,         0.06,         0.10,         0.02,         1.26,         0.21,         0.03,         1.48,         0.01,         1.27,         4.75,       152.06,       103.16,         0.79
309524,201502,2015,2,Pequeno Porte,         0.06,         0.11,         0.02,         1.16,         0.19,         0.00,         1.33,         0.02,         1.31,         4.76,       157.87,       110.21,         0.80
309524,201503,2015,3,Pequeno Porte,        -0.07,        -0.11,        -0.02,         1.33,         0.21,         0.02,         1.52,         0.03,         1.27,         4.83,       159.54,       109.00,         0.79
309524,201504,2015,4,Pequeno Porte,         0.02,         0.03,         0.01,         1.25,         0.23,         0.02,         1.46,         0.03,         1.31,         4.83,       149.22,        95.61,         0.86
309907,201501,2015,1,Médio Porte,        -0.20,        -0.48,        -0.11,         1.38,         0.13,         0.00,         1.46,        -0.00,         0.99,         3.91,       146.12,       144.73,         0.41
309907,201502,2015,2,Médio Porte,        -0.02,        -0.05,        -0.01,         1.26,         0.14,         0.01,         1.36,        -0.00,         0.94,         4.60,       155.12,       150.32,         0.42
309907,201503,2015,3,Médio Porte,        -0.08,        -0.21,        -0.04,         1.33,         0.16,         0.01,         1.44,        -0.00,         0.89,         4.71,       156.37,       146.24,         0.42
309907,201504,2015,4,Médio Porte,         0.06,         0.51,         0.03,         1.24,         0.15,         0.00,         1.35,        -0.01,         0.95,        13.71,       148.70,       131.40,         0.47
310131,201501,2015,1,Médio Porte,        -0.03,        -0.08,        -0.01,         1.19,         0.14,         0.00,         1.30,         0.01,         1.16,         4.40,       129.88,        89.92,         0.44
310131,201502,2015,2,Médio Porte,        -0.01,        -0.03,        -0.01,         1.18,         0.14,         0.00,         1.28,         0.01,         1.14,         4.27,       116.17,        48.70,         0.56
310131,201503,2015,3,Médio Porte,         0.05,         0.14,         0.03,         1.14,         0.14,         0.00,         1.25,         0.01,         1.17,         4.42,       144.24,        70.99,         0.55
310131,201504,2015,4,Médio Porte,         0.04,         0.10,         0.02,         1.14,         0.16,         0.00,         1.27,         0.01,         1.19,         4.04,       154.63,        67.53,         0.58
311057,201501,2015,1,Pequeno Porte,         0.15,         0.10,         0.07,         0.96,         0.25,         0.00,         1.20,         0.02,         2.69,         0.52,       152.32,       222.60,         0.15
311057,201502,2015,2,Pequeno Porte,         0.11,         0.07,         0.05,         1.04,         0.29,         0.00,         1.30,         0.03,         3.04,         0.44,       155.61,        74.01,         0.42
311057,201503,2015,3,Pequeno Porte,         0.19,         0.09,         0.07,         1.21,         0.29,         0.00,         1.41,        -0.02,         3.19,         0.41,       168.19,        97.36,         0.32
311057,201504,2015,4,Pequeno Porte,         0.22,         0.09,         0.07,         1.12,         0.35,         0.00,         1.38,         0.06,         3.64,         0.34,       170.34,        86.27,         0.44
311146,201501,2015,1,Pequeno Porte,         0.15,         0.45,         0.07,         0.95,         0.16,         0.01,         1.10,         0.01,         1.02,         4.56,       124.09,        80.77,         0.70
311146,201502,2015,2,Pequeno Porte,        -0.00,        -0.01,        -0.00,         1.19,         0.16,         0.01,         1.30,         0.01,         1.03,         4.27,       125.60,        81.84,         0.63
311146,201503,2015,3,Pequeno Porte,         0.08,         0.21,         0.03,         1.10,         0.16,         0.01,         1.24,         0.01,         1.02,         4.51,       130.88,        99.84,         0.61
311146,201504,2015,4,Pequeno Porte,        -0.14,        -0.34,        -0.06,         1.23,         0.19,         0.01,         1.37,         0.01,         0.84,         5.08,       124.57,        85.22,         0.63
311294,201501,2015,1,Médio Porte,         0.09,         0.14,         0.03,         1.34,         0.14,         0.00,         1.35,         0.02,         1.50,         3.43,        15.55,        88.34,         0.49
311294,201502,2015,2,Médio Porte,         0.01,         0.02,         0.00,         1.42,         0.13,         0.00,         1.39,         0.03,         1.49,         3.46,        15.37,        83.59,         0.49
311294,201503,2015,3,Médio Porte,         0.08,         0.12,         0.03,         1.41,         0.13,         0.00,         1.38,         0.02,         1.58,         3.04,        14.20,        70.70,         0.52
311294,201504,2015,4,Médio Porte,         0.02,         0.03,         0.01,         1.43,         0.15,         0.00,         1.40,         0.03,         1.57,         3.00,        23.08,        69.59,         0.53
311375,201501,2015,1,Médio Porte,         0.06,         0.06,         0.02,         1.35,         0.14,         0.00,         1.34,        -0.01,         1.23,         2.42,        32.47,        59.14,         0.80
311375,201502,2015,2,Médio Porte,         0.03,         0.03,         0.01,         1.40,         0.15,         0.00,         1.38,        -0.01,         1.15,         2.33,        28.57,        61.20,         0.78
311375,201503,2015,3,Médio Porte,         0.00,         0.00,         0.00,         1.45,         0.15,         0.00,         1.41,        -0.01,         1.16,         2.44,        28.29,        62.64,         0.79
311375,201504,2015,4,Médio Porte,        -0.08,        -0.21,        -0.02,         1.50,         0.14,         0.00,         1.44,        -0.07,         1.20,         7.34,        31.98,        53.72,         0.79
311618,201501,2015,1,Pequeno Porte,         0.03,         0.01,         0.00,         1.84,         0.18,         0.00,         1.56,         0.03,         1.48,         0.76,         8.94,        39.40,         0.67
311618,201502,2015,2,Pequeno Porte,        -0.01,        -0.00,        -0.00,         1.94,         0.19,         0.01,         1.61,         0.03,         1.37,         0.80,        10.65,        44.71,         0.60
311618,201503,2015,3,Pequeno Porte,         0.01,         0.00,         0.00,         2.00,         0.18,         0.01,         1.61,         0.03,         1.31,         0.89,         8.79,        38.61,         0.60
311618,201504,2015,4,Pequeno Porte,         0.02,         0.01,         0.00,         2.00,         0.19,         0.00,         1.61,         0.04,         1.40,         0.89,        15.64,        44.32,         0.55
311715,201501,2015,1,Médio Porte,         0.01,         0.01,         0.00,         1.20,         0.16,         0.01,         1.30,         0.02,         1.39,         1.71,        58.85,        71.05,         0.63
311715,201502,2015,2,Médio Porte,         0.01,         0.01,         0.00,         1.21,         0.17,         0.02,         1.32,         0.01,         1.39,         1.72,        69.96,        73.88,         0.63
